product_name,brand,usage_type,category,ingredients,image_url,product_url
"CeraVe Facial Cleanser, Normal To Oily Skin, 2 oz/60 g",CeraVe,Facial Cleansers,Facial Washes,"Aqua / Water, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cholesterol, Citric Acid, Cocoamidopropyl Hydroxysultaine, Disodium Edta, Ethylhexylglycerin, Glycerin, Niacinamide, Peg-150 Pentaerythrityl Tetrastearate, Peg-6 Caprylic/Capric Glycerides, Phenoxyethanol, Phytosphingosine, Propanediol, Sodium Benzoate, Sodium Hyaluronate, Sodium Lauroyl Lactylate, Sodium Lauroyl Sarcosinate, Sodium Methyl Cocoyl Taurate, Tetrasodium Edta, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/BDC45BD1B388DA/large_1752127913.pngpng?1752127913,https://www.skinsafeproducts.com/cerave-facial-cleanser-normal-to-oily-skin-2-oz-60-g
"Farmasi Dr. C. Tuna Calendula Moisturizing Sheet Mask, 0.99 oz/28 g",Farmasi,Skin Treatments,Facial Masks,"Butylene Glycol, Calendula Officinalis Flower Extract, Disodium Edta, Ethylhexylglycerin, Glycerin, Glycine Soja/Soybean Oil, Persea Gratissima/Avocado Oil, Phenoxyethanol, Tocopherol, Triethanolamine, Vitis Vinifera (Grape) Seed Extract*, Water/Aqua, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/5DDD2A68161FD7/large_1752122536.pngpng?1752122536,https://www.skinsafeproducts.com/farmasi-dr-c-tuna-calendula-moisturizing-sheet-mask-0-99-oz-28-g
"Trader Jacques French Liquid Soap, Orange Blossom Honey, 10 fl oz/296 mL, Pack Of 2",Trader Jacques,Cleansers,Liquid Cleansers & Soaps,"Aloe Leaf Extract, Coconut, Filtered Water, Natural Fragrance With Essential Oils, Natural Vegetable Glycerin, Olive Oil, Tea Cocoate, Tetrasodium Edta (Anti-Oxidant), Tocopherol (Vitamin E)",https://cdn1.skinsafeproducts.com/photo/9B366DBC4AA2FC/large_1752061626.pngpng?1752061626,https://www.skinsafeproducts.com/trader-jacques-french-liquid-soap-orange-blossom-honey-10-fl-oz-296-ml-pack-of-2
"The Face Shop Calendula Essential Moisture Serum, 1.35 fl oz/40 mL",The Face Shop,Skin Treatments,Serums,"12-Hexanediol, Alpha-Isomethyl Ionone, Anthemis Nobilis Flower Extract, Aspalathus Linearis (Rooibos) Leaf Extract, Beta-Carotene, Betaine, Borago Officinalis Extract, Butylene Glycol, Butyrospermum Parki Shea Butter, Calendula Officinalis Flower Extract, Caprylic/ Capric Triglyceride, Centaurea Cyanus Flower Extract, Cetearyl Alcohol, Citrus Paradisi (Grapefruit Fruit Extract), Cyclohexasiloxane, Cyclopentasiloxane, Daucus Carota Sativa (Carrot Root Extract), Daucus Carota Sativa (Carrot) Seed Oil, Diethylhexyl Syringylidenemalonate, Dimethicone, Disodium Edta, Ethylhexylglycerin, Geraniol, Glycerin, Glyceryl Stearate, Helianthus Annuus (Sunflower Seed Oil), Hydroxycitronellal, Isohexadecane, Lilium Candidum Flower Extract, Limonene, Linalool, Octyldodecyl Myristate, Parfum/Fragrance, Peg-100 Stearate, Phenoxyethanol, Polysorbate 60, Polysorbate 80, Salvia Officinalis (Sage) Leaf Extract, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate, Sorbitan Oleate, Squalane, Tocopherol, Tri-C14-15 Alkyl Citrate, Water/Eau",https://cdn1.skinsafeproducts.com/photo/1402C27E7867C0/large_1751971420.pngpng?1751971420,https://www.skinsafeproducts.com/the-face-shop-calendula-essential-moisture-serum-1-35-fl-oz-40-ml
"The Face Shop Herb Day 365 Master Blending Facial Foaming Cleanser, 5.7 fl oz/170 mL",The Face Shop,Facial Cleansers,Facial Foaming Cleansers,"1,2-Hexanediol, Anthemis Nobilis Flower Extract, Artemisia Princeps Leaf Extract, Aspalathus Linearis (Rooibos) Leaf Extract, Borago Officinalis Extract, Butylene Glycol, Centaurea Cyanus Flower Extract, Cocamidopropyl Betaine, Disodium Edta, Glycerin, Glyceryl Stearate, Glycol Distearate, Lauric Acid, Lilium Candidum Flower Extract, Myristic Acid, Panax Ginseng Root Extract, Peg-100 Stearate, Peg-7 Glyceryl Cocoate, Phaseolus Radiatus Seed Extract, Polygonatum Officinale Rhizome/Root Extract, Polygonum Multiflorum Root Extract, Polysorbate 20, Potassium Hydroxide, Stearic Acid, Water/Eau",https://cdn1.skinsafeproducts.com/photo/09EEF5E9BDE85B/large_1739632737.jpeg?1739632737,https://www.skinsafeproducts.com/the-face-shop-herb-day-365-master-blending-facial-foaming-cleanser-5-7-fl-oz-170-ml
"Natio Men Plus Age Defence Face Moisturiser, 2.7 fl oz/80 mL",Natio,Face,Creams,"Brassica Campestris (Rapeseed) Oil, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Daucus Carota Sativa (Carrot) Root Extract, Dicaprylyl Carbonate, Disodium Edta, Ethylhexylglycerin, Fragrance (Parfum), Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Coco-Glycerides, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Neopentyl Glycol Diheptanoate, Niacinamide, Peg-100 Stearate, Phenoxyethanol, Propanediol, Retinyl Palmitate, Sodium Hyaluronate, Tasmannia Lanceolata (Mountain Pepper) Fruit Extract, Tocopheryl Acetate, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/4E78CEE3F71133/large_1751860744.jpegjpg?1751860744,https://www.skinsafeproducts.com/natio-men-plus-age-defence-face-moisturiser-2-7-fl-oz-80-ml
"Green Goo Natural Herbal Lip Balm, Citrus Zest, 0.15 oz/4.25 g",Green Goo,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Calendula Officinalis (Calendula) Flower Oil, Cera Alba (Beeswax), Citrus Limon (Lemon) Fruit Oil, Citrus Sinensis (Orange) Fruit Extract, Cocos Nucifera (Coconut) Oil, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol (Vitamin E)",https://cdn1.skinsafeproducts.com/photo/BE29F525701509/large_1740341802.jpeg?1740341802,https://www.skinsafeproducts.com/green-goo-natural-herbal-lip-balm-citrus-zest-0-15-oz-4-25-g
"Kit & Kin Hand Wash, Lime & Aloe Vera, 500 mL, Pack Of 4",Kit & Kin,Cleansers,Liquid or Cream Hand Soaps,"Aloe Vera Oil (Aloe Barbedensis), Aqua, Citric Acid, Cocamidopropyl Betaine, Lactic Acid, Limonene, Parfum, Sodium Chloride, Sodium Laureth Sulfate",https://cdn1.skinsafeproducts.com/photo/BD6DFFB57A0D05/large_1751883934.pngpng?1751883934,https://www.skinsafeproducts.com/kit-kin-hand-wash-lime-aloe-vera-500-ml-pack-of-4
"Plum Rice Water & Niacinamide Face Wash, 5.07 fl oz/150 mL",Plum,Facial Cleansers,Facial Washes,"Acrylates Copolymer, Aqua, Butylene Glycol, Capryloyl/Caproyl Methyl Glucamide, Cocamidopropyl Betaine, Coco Glucoside, Disodium Edta, Ethylhexylglycerin, Fragrance, Glycerin, Lauroyl/Myristoyl Methyl Glucamide, Niacinamide, Olive Oil Peg-7 Esters, Oryza Sativa (Rice) Extract, Panthenol, Phenoxyethanol, Rice Ferment Filtrate (Sake), Sodium Cocoyl Glycinate, Sodium Hyaluronate, Styrene/Acrylates Copolymer, Tocopheryl Acetate, Triethanolamine",https://cdn1.skinsafeproducts.com/photo/8292A92E7828D4/large_1751876298.pngpng?1751876298,https://www.skinsafeproducts.com/plum-rice-water-niacinamide-face-wash-5-07-fl-oz-150-ml
"Biore Hydrate & Glow Toner, Coconut Water Prebiotics + Lactic Acid, 8 fl oz/235 mL",Biore,Toners & Astringents,Toners,"Aqua, Butylene Glycol, Cocos Nucifera (Coconut) Liquid Endosperm, Ethoxydiglycol, Glycerin, Inulin, Lactic Acid, Leuconostoc/Radish Root Ferment Filtrate, Malic Acid, Mannitol, Panthenol, Sodium Benzoate, Sodium Hydroxide, Tetrasodium Glutamate Diacetate",https://cdn1.skinsafeproducts.com/photo/21894D6100354B/large_1751872834.pngpng?1751872834,https://www.skinsafeproducts.com/biore-hydrate-glow-toner-coconut-water-prebiotics-lactic-acid-8-fl-oz-235-ml
"SoftSoap Liquid Hand Soap, Golden Apple Scent, 6.25 fl oz/184 mL, Pack Of 6",Softsoap,Cleansers,Liquid or Cream Hand Soaps,"Citric Acid, Cocamide Mea, Cocamidopropyl Betaine, Fragrance/Parfum, Green 5, Polyquaternium-7, Sodium Benzoate, Sodium C12-13 Alketh Sulfate, Sodium Chloride, Sodium Laureth Sulfate, Tetrasodium Edta, Water/Eau, Yellow 5",https://cdn1.skinsafeproducts.com/photo/65E1934CBDFAB5/large_1751864282.pngpng?1751864282,https://www.skinsafeproducts.com/softsoap-liquid-hand-soap-golden-apple-scent-6-25-fl-oz-184-ml-pack-of-6
