product_name,brand,usage_type,category,ingredients,image_url,product_url
"Restorsea Pro Rebalancing Lotion, 1.7 oz/50 g",Restorsea,Face,Lotions,"1,2-Hexanediol, Alaria Esculenta Extract, Ascorbyl Glucoside, Butyrospermum Parkii (Shea Butter), Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetyl Alcohol, Citric Acid, Fragrance (Parfum), Glycerin, Glyceryl Behenate, Glyceryl Caprylate, Glyceryl Dibehenate, Glyceryl Stearate Se, Hydrolyzed Roe, Lactobacillus Ferment, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Honeysuckle) Extract, Sclerotium Gum, Sodium Citrate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Squalane, Tribehenin, Water (Aqua/Eau)",https://cdn1.skinsafeproducts.com/photo/1AF4A1A6A1224E/large_1636697655.pngpng?1636697655,https://www.skinsafeproducts.com/restorsea-pro-rebalancing-lotion-1-7-oz-50-g
"Burt's Bees Tinted Lip Balm, Red Dahlia, Hibiscus, Zinnia, 0.15 oz/4.25 g, 3 Count",Burt's Bees,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Alumina, Ammonium Glycyrrhizate, Aroma (Flavour), Butyrospermum Parkii (Shea) Butter, Candelilla Cera [Euphorbia Cerifera (Candelilla) Wax], Canola Oil, Cera Alba [Beeswax], Ci 75470 [Carmine], Ci 77491,77492,77499 (Iron Oxides), Ci 77891 [Titanium Dioxide], Cocos Nucifera (Coconut) Oil, Glycine Soja (Soybean) Oil, Helianthus Annuus (Sunflower) Seed Oil, Lanolin, Olea Europaea (Olive) Fruit Oil, Olus (Vegetable) Oil, Ricinus Communis (Castor) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopherol",https://cdn1.skinsafeproducts.com/photo/61C1AB3A4F2510/large_1636703360.jpeg?1636703360,https://www.skinsafeproducts.com/burt-s-bees-tinted-lip-balm-red-dahlia-hibiscus-zinnia-0-15-oz-4-25-g-3-count
"European Wax Center Sensual Strut Body Lotion, 0.27 fl oz/8 mL",European Wax Center (EWC),Body,Lotions,"Acrylates Copolymer, Aloe Barbadensis Leaf Juice, Aminomethyl Propanol, Bht, Butylene Glycol, C12-15 Alkyl Benzoate, Chamomilla Recutita (Matricaria) Flower Extract, Citric Acid, Cocamidopropyl Betaine (Coconut Derived), Cucumis Sativus (Cucumber) Fruit Extract, Disodium Edta, Disteareth- 75 Ipdi, Fragrance (Parfum), Glycereth-7 Caprylate/Caprate, Glycerin, Hydrogenated Vegetable Oil, Lauramidopropyl Betaine, Limonene, Macrocystis Pyrifera (Kelp) Extract, Narcissus Tazetta Bulb Extract, Phenoxyethanol, Pumice, Red 33 (Ci 17200), Sodium C14-16 Olefin Sulfonate, Sodium Hydroxide, Sodium Laureth Sulfate, Tocopheryl Acetate, Water (Aqua/Eau), Yellow 5 (Ci 19140)",https://cdn1.skinsafeproducts.com/photo/83DF60C5B7A3C6/large_1636697636.jpeg?1636697636,https://www.skinsafeproducts.com/european-wax-center-sensual-strut-body-lotion-0-27-fl-oz-8-ml
"Derma E Vitamin C Concentrated Serum, Brighten + Hydrate, 0.5 fl oz/15 mL",Derma E,Skin Treatments,Serums,"Allantoin, Aloe Barbadensis Leaf Juice, Alpha-Glucan Oligosaccharide, Camellia Sinensis (Green Tea) Leaf Extract, Caprylic/Capric Triglyceride, Cellulose Gum, Citric Acid, Ethylhexyl Palmitate, Ethylhexylglycerin, Glycerin, Lactobacillus, Maltodextrin, Microcrystalline Cellulose, Natural Fragrance Oils, Panthenol, Phenoxyethanol, Polymnia Sonchifolia Root Juice, Purified Water, Rosa Canina Seed Oil, Sodium Ascorbyl Phosphate, Sodium Citrate, Sodium Hyaluronate, Tocopheryl Acetate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/AF9D6369EB95BA/large_1636696001.pngpng?1636696001,https://www.skinsafeproducts.com/derma-e-vitamin-c-concentrated-serum-brighten-hydrate-0-5-fl-oz-15-ml
"Wild Carrot Borage Butter Face Cream, 2 fl oz/60 mL",Wild Carrot,Face,Creams,"Aqua (Water), Borago Officinalis (Borage) Seed Oil, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Glycerin, Myrtus Communis (Green Myrtle) Oil, Potassium Sorbate, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sodium Behenoyl Lactylate, Stearyl Alcohol, Tanacetum Annuum (Blue Tansy) Oil, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol",https://cdn1.skinsafeproducts.com/photo/D8224399A014AB/large_1636455702.pngpng?1636455702,https://www.skinsafeproducts.com/wild-carrot-borage-butter-face-cream-2-fl-oz-60-ml
"First Botany Cosmeceuticals Therapeutic Gentle Hand Soap, Tea Tree Mint, 16 fl oz/473 mL",First Botany Cosmeceuticals,Cleansers,Liquid or Cream Hand Soaps,"*Mentha Piperita (Peppermint) Leaf Oil, Butyrospermum Parkii (Shea Butter) Oil, Cocos Nucifera (Coconut) Oil, Cocos Nucifera (Coconut) Water, Grapefruit Oil, Hippophae Rhamnoides Fruit Oil, Hydrogenated Cranberry Seed Oil, Linum Usitatissimum (Linseed) Seed Oil, Melaleuca Alternafolia (Tea Tree) Leaf Oil, Melia Azadirachta Seed Oil (Neem), Natural Fragrance, Olea Europaea (Olive) Fruit Oil, Plukenetia Volubilis Seed Oil, Punica Granatum Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Spearmint Oil, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Water",https://cdn1.skinsafeproducts.com/photo/C57412BF76A092/large_1636517896.pngpng?1636517896,https://www.skinsafeproducts.com/first-botany-cosmeceuticals-therapeutic-gentle-hand-soap-tea-tree-mint-16-fl-oz-473-ml
"Jersey Shore Cosmetics Glossy Balm, Star Mint",Jersey Shore Cosmetics,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Beeswax, Calendula Extract, Coconut Oil, Peppermint Eo, Rosemary Extract, Sunflower Oil, Vitamin E",https://cdn1.skinsafeproducts.com/photo/3D05C4B77B6A12/large_1636518521.pngpng?1636518521,https://www.skinsafeproducts.com/jersey-shore-cosmetics-glossy-balm-star-mint
"Thena Natural Wellness Face Moisturizer, Antioxidant Booster, 2.25 oz",THENA Natural Wellness,Face,Creams,"Acai Berry, Amaranth Oil, Argan Oil, Ascorbyl Palmitate (Vitamin C), Avocado Oil, Behentrimonium Methosulfate, Blood Orange Oil, Botanical Extracts Of Chamomile, Caprylyl Glycol, Cetearyl Alcohol Nf, Green Tea, Hexylene Glycol, High Oleic Safflower Oil, Hyaluronic Acid, Jojoba Oil, Macadamia Nut Oil, Msm, Niacinamide (Vitamin B3), Organic Aloe Vera Juice, Organic Coconut Oil, Phenoxyethanol, Pomegranate, Potassium Sorbate, Purified Water, Retinyl Palmitate (Vitamin A), Rosemary Extract, Shea Nut Butter, Sweet Orange, Tangerine Oil, Titanium Dioxide, Vegetable Glycerin, Vitamin E Mixed Tocopherols, Ylang Ylang, Yuzu Oil",https://cdn1.skinsafeproducts.com/photo/D7B21654447088/large_1636450503.pngpng?1636450503,https://www.skinsafeproducts.com/thena-natural-wellness-face-moisturizer-antioxidant-booster-2-25-oz
Sabbatical Beauty Donkey Cream,Sabbatical Beauty,Face,Creams,"Allium Sativum (Garlic) Bulb Extract, Caprylyl Glycol, Citric Acid, Donkey Milk, Emulsifying Wax (Source Not Specfied), Hexylene Glycol, Lactobacillus/Arundinaria Gigantea (Bamboo) Ferment Filtrate, Panthenol, Phenoxyethanol, Rice Bran Oil, Shea Butter, Vanilla Planifolia Fruit Extract, Wasabia Japonica (Wasabi) Root Extract, Water, Zingiber Officinale (Ginger) Root Extract",https://cdn1.skinsafeproducts.com/photo/3F600AD2E242B0/large_1636652485.pngpng?1636652485,https://www.skinsafeproducts.com/sabbatical-beauty-donkey-cream
"Sabbatical Beauty Piper's Peat Serum, 1 fl oz/30 mL",Sabbatical Beauty,Skin Treatments,Serums,"Allium Sativum (Garlic) Bulb Extract, Caprylyl Glycol, Citric Acid, Hexylene Glycol, Lactobacillus & Cocos Nucifera (Coconut) Fruit Extract, Peat Extract, Phenoxyethanol, Wasabia Japonica (Wasabi) Root Extract, Water, Zingiber Officinale (Ginger) Root Extract",https://cdn1.skinsafeproducts.com/photo/715171AE90D8A8/large_1636652123.pngpng?1636652123,https://www.skinsafeproducts.com/sabbatical-beauty-piper-s-peat-serum-1-fl-oz-30-ml
"Sabbatical Beauty Moar Honey Serum, 1 fl 0z/30 mL",Sabbatical Beauty,Skin Treatments,Serums,"Allium Sativum (Garlic) Bulb Extract, Arnica Extract, Burdock Root Extract, Caprylyl Glycol, Citric Acid, Cocos Nucifera (Coconut) Fruit Extract, Gingko Biloba Extract, Hexylene Glycol, Lactobacillus, N-Acetyl Glucosamine, Niacinamide, Panthenol, Phenoxyethanol, Propolis Extract, Royal Jelly Extract, Wasabia Japonica (Wasabi) Root Extract, Water, Zingiber Officinale (Ginger) Root Extract",https://cdn1.skinsafeproducts.com/photo/9E8A8C1A9CA5C7/large_1636651799.pngpng?1636651799,https://www.skinsafeproducts.com/sabbatical-beauty-moar-honey-serum-1-fl-0z-30-ml
"Sabbatical Beauty Maple Essence Toner, 4 fl oz/118 mL",Sabbatical Beauty,Toners & Astringents,Toners,"Acer Saccharum (Sugar Maple) Sap, Actinidia Chinensis (Kiwi) Fruit Extract, Allium Sativum (Garlic) Bulb Extract, Ananas Sativus (Pineapple) Fruit Extract, Averrhoa Carambola Fruit Extract, Caprylyl Glycol, Citric Acid, Cocos Nucifera (Coconut) Fruit Extract, Garcinia Mangostana Extract, Hexylene Glycol, Lactobacillus, Litchi Chinensis Fruit Extract, Panthenol, Passiflora Incarnata Fruit Extract, Phenoxyethanol, Psidium Guajava Fruit Extract, Punica Granatum Extract, Wasabia Japonica (Wasabi) Root Extract, Water, White Willow Bark Extract, Zingiber Officinale (Ginger) Root Extract, Zizyphus Jujuba Fruit Extract",https://cdn1.skinsafeproducts.com/photo/66E823D72C57A7/large_1636649456.pngpng?1636649456,https://www.skinsafeproducts.com/sabbatical-beauty-maple-essence-toner-4-fl-oz-118-ml
"Bodycology Moisturizing Body Cream, Sweet Pea & Peony, 8 oz/227 g",Bodycology,Body,Creams,"Aloe Barbadensis (Aloe Vera) Leaf Juice (Decolorized), Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Carbomer, Cetyl Alcohol, Dimethicone, Disodium Edta, Ethylhexylglycerin, Fragrance (Parfum), Glycerin, Glyceryl Stearate, Glyceryl Stearate Se, Isopropyl Palmitate, Phenoxyethanol, Simmondsia Chinensis (Jojoba) Butter, Sodium Hydroxide, Stearicacid, Theobroma Cacao (Cocoa) Seed Butter, Tocopheryl Acetate (Vitamin E), Water (Aqua, Eau), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/201907553C6DB7/large_1636617634.pngpng?1636617634,https://www.skinsafeproducts.com/bodycology-moisturizing-body-cream-sweet-pea-peony-8-oz-227-g
Dr. Barbara Sturm Calming Serum Sample,Dr. Barbara Sturm,Skin Treatments,Serums,"Aqua/Water/Eau, Biosaccharide Gum-1, Carbomer, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Cetearyl Alcohol, Citric Acid, Dicaprylyl Carbonate, Dimethicone, Echium Plantagineum Seed Oil, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Lactobacillus/Portulaca Oleracea Ferment Extract, Leuconostoc/Radish Root Ferment Filtrate, Octyldodecanol, Panthenol, Pantolactone, Phenoxyethanol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sodium Hydroxide, Sodium Lauroyl Glutamate, Stearic Acid, Tocopherol",https://cdn1.skinsafeproducts.com/photo/21B72B46739B02/large_1636611269.pngpng?1636611269,https://www.skinsafeproducts.com/dr-barbara-sturm-calming-serum-sample
"Skinbetter Science Interfuse Treatment Cream, Eye, 0.17 fl oz/5 mL",Skinbetter Science,"Eye Cream, Gel, Oils, & Serum",Creams,"Alcohol Denat, Aqua/Water, Arginine, Caffeine, Caprylic/Capric Triglyceride, Caprylyl Glycol, Caprylyl Methicone, Carbomer, Ceteareth-20, Cetearyl Alcohol, Citric Acid, Copper Lysinate/Prolinate, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Glycine, Hexylene Glycol, Hyaluronate, Hydrolyzed Lupine Protein, Hydroxypropyl Cyclodextrin, Jojoba Esters, Methylglucoside Phosphate, Niacinamide, Palmitoyl Tripeptide-38, Peg-100 Stearate, Peg-16 Macadamia Glycerides, Phenoxyethanol., S-Mu-Conotoxin Cniiic Acetate, Saccharomyces Cerevisiae Extract, Sodium Hydroxide, Terminalia Ferdinandiana Fruit Extract",https://cdn1.skinsafeproducts.com/photo/0242FEFE9FC43D/large_1636606212.jpeg?1636606212,https://www.skinsafeproducts.com/skinbetter-science-interfuse-treatment-cream-eye-0-17-fl-oz-5-ml
"Eco Lips Mongo Kiss Lip Balm, Mongongo Oil, 0.25 oz/7 g, Pack Of 3",Eco Lips,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Calendula Officinalis (Calendula) Flower Extract, Cera Flava (Beeswax), Helianthus Annuus (Sunflower) Seed Oil, Honey Flavor, Mixed Tocopherols (Vitamin E), Peppermint Essential Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Schinziophyton Rautanenii (Mongongo) Kernel Oil, Stevia Rebaudiana Leaf/Stem Extract, Theobroma Cacao (Cocoa) Seed Butter, Vanilla Flavor, Yumberry Flavor",https://cdn1.skinsafeproducts.com/photo/90D9E77E4E5331/large_1636603500.pngpng?1636603500,https://www.skinsafeproducts.com/eco-lips-mongo-kiss-lip-balm-mongongo-oil-0-25-oz-7-g-pack-of-3
Sabbatical Beauty Cucumber & Aloe Mist,Sabbatical Beauty,Face,Mists,"Aloe Vera, Coconut Fruit Extract, Cucumber Hydrosol, Lactobacillus, Radish Root Ferment Filtrate",https://cdn1.skinsafeproducts.com/photo/882A6727E7CD68/large_1636583998.pngpng?1636583998,https://www.skinsafeproducts.com/sabbatical-beauty-cucumber-aloe-mist
"Degree Maximum Recovery 3 In 1 Deep Clean Bar, Epsom Salt + Lavender Extract, 3.75 fl oz/106 g, 4 Bars",Degree,Cleansers,Bar Soaps,"Calcium Chloride, Fragrance (Parfum), Glycerin, Lavandula Angustifolia (Lavender) Oil, Magnesium Sulfate, Pentasodium Pentetate, Potassium Chloride, Red 33 (Ci 17200), Sodium Chloride, Sodium Laurate, Sodium Oleate, Tetrasodium Etidronate, Violet 2 (Ci 60725), Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/FDB069D28C37B7/large_1636538883.jpeg?1636538883,https://www.skinsafeproducts.com/degree-maximum-recovery-3-in-1-deep-clean-bar-epsom-salt-lavender-extract-3-75-fl-oz-106-g-4-bars
"Dove Go Fresh Cool Moisture Beauty Bar, Cucumber & Green Tea Scent, 3.75 oz/106 g, 12 Count",Dove,Cleansers,Bar Soaps,"Blue 1 (Ci 42090), Dipropylene Glycol, Fragrance (Parfum), Lauric Acid, Sodium C14-16 Olefin Sulfonate, Sodium Chloride, Sodium Isethionate, Sodium Laurate, Sodium Lauroyl Isethionate, Sodium Oleate, Sodium Stearate, Stearic Acid, Tetrasodium Edta, Tetrasodium Etidronate, Titanium Dioxide (Ci 77891), Water (Aqua), Yellow 5 (Ci 19140)",https://cdn1.skinsafeproducts.com/photo/388A8264407430/large_1636536874.jpeg?1636536874,https://www.skinsafeproducts.com/dove-go-fresh-cool-moisture-beauty-bar-cucumber-green-tea-scent-3-75-oz-106-g-12-count
